candidate_channel,candidate_channel_id,candidate_channel_url,matched_source_videos,matched_rows,exact_rows
人生の運命劇場,UC5EWsuNoDrwFQa4uapKaIHg,https://www.youtube.com/channel/UC5EWsuNoDrwFQa4uapKaIHg,8,8,8
人生100年スタイル,UCebBuYRk-QxdTdGTu7596gg,https://www.youtube.com/channel/UCebBuYRk-QxdTdGTu7596gg,4,4,4
人生100年ノート,UCgNKM6xYROljMWYXy49BztA,https://www.youtube.com/channel/UCgNKM6xYROljMWYXy49BztA,4,4,4
人生の物語,UCKtokhjcCHVq6rX2az3T0fQ,https://www.youtube.com/channel/UCKtokhjcCHVq6rX2az3T0fQ,3,3,3
心を癒す物語,UCAaZLpf37ZsSi-Icrvq0yQw,https://www.youtube.com/channel/UCAaZLpf37ZsSi-Icrvq0yQw,2,2,2
心のしおり,UCW8pTmcX9EkR9ePp5yrWqdg,https://www.youtube.com/channel/UCW8pTmcX9EkR9ePp5yrWqdg,1,1,1
人生は素晴らしい,UCXpRLTLrOTjkI4_1EidJj7w,https://www.youtube.com/channel/UCXpRLTLrOTjkI4_1EidJj7w,1,1,1
人生秘伝ストーリー,UC3aR4nhHpW-mha0kytuSetA,https://www.youtube.com/channel/UC3aR4nhHpW-mha0kytuSetA,1,2,0
至高の人生劇場TV,UCyZYoD_95Xov7jnvoLwnb-w,https://www.youtube.com/channel/UCyZYoD_95Xov7jnvoLwnb-w,1,1,0
人生の物語,UCv1d2zdbv3CjwrkDMdoO7Rg,https://www.youtube.com/channel/UCv1d2zdbv3CjwrkDMdoO7Rg,1,1,0
黄金色の人生,UCI1hXhnJQ1viLMpO6zLiypQ,https://www.youtube.com/channel/UCI1hXhnJQ1viLMpO6zLiypQ,1,1,0
