source_index,source_channel,source_video_id,source_url,source_title,source_transcript_chars,rank,candidate_video_id,candidate_url,candidate_title,candidate_channel,candidate_channel_id,candidate_channel_url,match_type,score,notes
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,1,2LCVE0aH4hg,https://www.youtube.com/watch?v=2LCVE0aH4hg,【スカッと】「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の元ヤクザの工場で1ヶ月後に起きた奇跡！【面白きかな人生】,至高の人生劇場TV,UCyZYoD_95Xov7jnvoLwnb-w,https://www.youtube.com/channel/UCyZYoD_95Xov7jnvoLwnb-w,fuzzy_title,0.72,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,2,2ypf9-_F36M,https://www.youtube.com/watch?v=2ypf9-_F36M,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の金型工場で1ヶ月後に起きた奇跡！【感動する話】【朗読】,人生秘伝ストーリー,UC3aR4nhHpW-mha0kytuSetA,https://www.youtube.com/channel/UC3aR4nhHpW-mha0kytuSetA,fuzzy_title,0.9247,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,3,hqUQ3KXUZj4,https://www.youtube.com/watch?v=hqUQ3KXUZj4,「中卒ですが。」現れたのはIQ200の天才少女。倒産寸前の造船所で彼女が起こした1ヶ月後の奇跡！【感動する話】【朗読】,人生の物語,UCv1d2zdbv3CjwrkDMdoO7Rg,https://www.youtube.com/channel/UCv1d2zdbv3CjwrkDMdoO7Rg,fuzzy_title,0.875,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,4,ZREHy3ejrEE,https://www.youtube.com/watch?v=ZREHy3ejrEE,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の工場で1ヶ月後に起きた奇跡！【感動する話】【朗読】,黄金色の人生,UCI1hXhnJQ1viLMpO6zLiypQ,https://www.youtube.com/channel/UCI1hXhnJQ1viLMpO6zLiypQ,fuzzy_title,0.9451,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,5,wkEmIM3ID9A,https://www.youtube.com/watch?v=wkEmIM3ID9A,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,人生の物語,UCKtokhjcCHVq6rX2az3T0fQ,https://www.youtube.com/channel/UCKtokhjcCHVq6rX2az3T0fQ,exact_normalized,1.0,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,6,KPIseIaO1xE,https://www.youtube.com/watch?v=KPIseIaO1xE,「中卒ですが…」現れたのはIQ 200の天才シングルマザー。倒産寸前の町工場で1ヶ月後に起きた奇跡！【感動する話】【朗読】,人生秘伝ストーリー,UC3aR4nhHpW-mha0kytuSetA,https://www.youtube.com/channel/UC3aR4nhHpW-mha0kytuSetA,fuzzy_title,0.8542,new_youtube_search_title_match
19,人生の縁側,zTKhE_x4ER0,https://www.youtube.com/watch?v=zTKhE_x4ER0,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡！【感動する話】【朗読】,21551,7,qYSM0me39SU,https://www.youtube.com/watch?v=qYSM0me39SU,「中卒ですが…」現れたのはIQ200の天才少女。倒産寸前の造船所で1ヶ月後に起きた奇跡【感動する話】【朗読】,心のしおり,UCW8pTmcX9EkR9ePp5yrWqdg,https://www.youtube.com/channel/UCW8pTmcX9EkR9ePp5yrWqdg,exact_normalized,1.0,new_youtube_search_title_match
20,人生の縁側,bjBtxPA3_bU,https://www.youtube.com/watch?v=bjBtxPA3_bU,「生きたければ、かつらを被りなさい！」12歳の天才孤児の少女の叫びに、大財閥の会長が女性用かつらを被って身を隠した衝撃展開【感動する話】,19832,1,O5Yg5PnfiKw,https://www.youtube.com/watch?v=O5Yg5PnfiKw,「生きたければ、かつらを被りなさい！」12歳の天才孤児の少女の叫びに、大財閥の会長が女性用かつらを被って身を隠した衝撃展開【感動する話】,人生の物語,UCKtokhjcCHVq6rX2az3T0fQ,https://www.youtube.com/channel/UCKtokhjcCHVq6rX2az3T0fQ,exact_normalized,1.0,new_youtube_search_title_match
22,人生の縁側,dKBFcNV1qJI,https://www.youtube.com/watch?v=dKBFcNV1qJI,「親の顔が見てみたいわw」エリート銀行員に侮辱された女性清掃員。「わかりました、すぐ呼びますね」内線0001で呼び出した結果…,13407,1,XVLbceXuKe0,https://www.youtube.com/watch?v=XVLbceXuKe0,「親の顔が見てみたいわw」エリート銀行員に侮辱された女性清掃員。「わかりました、すぐ呼びますね」内線0001で呼び出した結果…,人生の物語,UCKtokhjcCHVq6rX2az3T0fQ,https://www.youtube.com/channel/UCKtokhjcCHVq6rX2az3T0fQ,exact_normalized,1.0,new_youtube_search_title_match
23,人生は七色,mpU1XM9b2PA,https://www.youtube.com/watch?v=mpU1XM9b2PA,スペインで全財産を失った26歳の日本人女性。廃業寸前のスペインレストランが１つの羽釜で奇跡を起こす…【感動ストーリー】【人生は七色】,19978,1,wIUPUZQC_UU,https://www.youtube.com/watch?v=wIUPUZQC_UU,スペインで全財産を失った26歳の日本人女性。廃業寸前のスペインレストランが１つの羽釜で奇跡を起こす…【感動ストーリー】【人生は七色】,心を癒す物語,UCAaZLpf37ZsSi-Icrvq0yQw,https://www.youtube.com/channel/UCAaZLpf37ZsSi-Icrvq0yQw,exact_normalized,1.0,new_youtube_search_title_match
